city	state	population	rank
Santa Clarita	California	179590	133
Providence	Rhode Island	177994	134
Garden Grove	California	175140	135
Chattanooga	Tennessee	173366	136
Oceanside	California	172794	137
Jackson	Mississippi	172638	138
Fort Lauderdale	Florida	172389	139
Santa Rosa	California	171990	140
Rancho Cucamonga	California	171386	141
Port St. Lucie	Florida	171016	142
Tempe	Arizona	168228	143
Ontario	California	167500	144
Vancouver	Washington	167405	145
Cape Coral	Florida	165831	146
Sioux Falls	South Dakota	164676	147
Springfield	Missouri	164122	148
Peoria	Arizona	162592	149
Pembroke Pines	Florida	162329	150
Elk Grove	California	161007	151
Salem	Oregon	160614	152
Lancaster	California	159523	153
Corona	California	159503	154
Eugene	Oregon	159190	155
Palmdale	California	157161	156
Salinas	California	155662	157
Springfield	Massachusetts	153703	158
Pasadena	Texas	152735	159
Fort Collins	Colorado	152061	160
Hayward	California	151574	161
Pomona	California	151348	162
Cary	North Carolina	151088	163
Rockford	Illinois	150251	164
Alexandria	Virginia	148892	165
Escondido	California	148738	166
McKinney	Texas	148559	167
Kansas City	Kansas	148483	168
Joliet	Illinois	147806	169
Sunnyvale	California	147559	170
Torrance	California	147478	171
Bridgeport	Connecticut	147216	172
Lakewood	Colorado	147214	173
Hollywood	Florida	146526	174
Paterson	New Jersey	145948	175
Naperville	Illinois	144864	176
Syracuse	New York	144669	177
Mesquite	Texas	143484	178
Dayton	Ohio	143355	179
Savannah	Georgia	142772	180
Clarksville	Tennessee	142357	181
Orange	California	139969	182
Pasadena	California	139731	183
Fullerton	California	138981	184
Killeen	Texas	137147	185
Frisco	Texas	136791	186
Hampton	Virginia	136699	187
McAllen	Texas	136639	188
Warren	Michigan	134873	189
Bellevue	Washington	133992	190
West Valley City	Utah	133579	191
Columbia	South Carolina	133358	192
Olathe	Kansas	131885	193
Sterling Heights	Michigan	131224	194
New Haven	Connecticut	130660	195
Miramar	Florida	130288	196
Waco	Texas	129030	197
Thousand Oaks	California	128731	198
Cedar Rapids	Iowa	128429	199
Charleston	South Carolina	127999	200
Visalia	California	127763	201
Topeka	Kansas	127679	202
Elizabeth	New Jersey	127558	203
Gainesville	Florida	127488	204
Thornton	Colorado	127359	205
Roseville	California	127035	206
Carrollton	Texas	126700	207
Coral Springs	Florida	126604	208
Stamford	Connecticut	126456	209
Simi Valley	California	126181	210
Concord	California	125880	211
Hartford	Connecticut	125017	212
Kent	Washington	124435	213
Lafayette	Louisiana	124276	214
Midland	Texas	123933	215
Surprise	Arizona	123546	216
Denton	Texas	123099	217
Victorville	California	121096	218
Evansville	Indiana	120310	219
Santa Clara	California	120245	220
Abilene	Texas	120099	221
Athens-Clarke County	Georgia	119980	222
Vallejo	California	118837	223
Allentown	Pennsylvania	118577	224
Norman	Oklahoma	118197	225
Beaumont	Texas	117796	226
Independence	Missouri	117240	227
Murfreesboro	Tennessee	117044	228
Ann Arbor	Michigan	117025	229
Springfield	Illinois	117006	230
Berkeley	California	116768	231
Peoria	Illinois	116513	232
Provo	Utah	116288	233
El Monte	California	115708	234
Columbia	Missouri	115276	235
Lansing	Michigan	113972	236
Fargo	North Dakota	113658	237
Downey	California	113242	238
Costa Mesa	California	112174	239
Wilmington	North Carolina	112067	240
Arvada	Colorado	111707	241
Inglewood	California	111542	242
Miami Gardens	Florida	111378	243
Carlsbad	California	110972	244
Westminster	Colorado	110945	245
Rochester	Minnesota	110742	246
Odessa	Texas	110720	247
Manchester	New Hampshire	110378	248
Elgin	Illinois	110145	249
West Jordan	Utah	110077	250
Round Rock	Texas	109821	251
Clearwater	Florida	109703	252
Waterbury	Connecticut	109676	253
Gresham	Oregon	109397	254
Fairfield	California	109320	255
Billings	Montana	109059	256
Lowell	Massachusetts	108861	257
San Buenaventura (Ventura)	California	108817	258
Pueblo	Colorado	108249	259
High Point	North Carolina	107741	260
West Covina	California	107740	261
Richmond	California	107571	262
Murrieta	California	107479	263
Cambridge	Massachusetts	107289	264
Antioch	California	107100	265
Temecula	California	106780	266
Norwalk	California	106589	267
Centennial	Colorado	106114	268
Everett	Washington	105370	269
Palm Bay	Florida	104898	270
Wichita Falls	Texas	104898	271
Green Bay	Wisconsin	104779	272
Daly City	California	104739	273
Burbank	California	104709	274
Richardson	Texas	104475	275
Pompano Beach	Florida	104410	276
North Charleston	South Carolina	104054	277
Broken Arrow	Oklahoma	103500	278
Boulder	Colorado	103166	279
West Palm Beach	Florida	102436	280
Santa Maria	California	102216	281
El Cajon	California	102211	282
Davenport	Iowa	102157	283
Rialto	California	101910	284
Las Cruces	New Mexico	101324	285
San Mateo	California	101128	286
Lewisville	Texas	101074	287
South Bend	Indiana	100886	288
Lakeland	Florida	100710	289
Erie	Pennsylvania	100671	290
Tyler	Texas	100223	291
Pearland	Texas	100065	292
College Station	Texas	100050	293
Kenosha	Wisconsin	99889	294
Sandy Springs	Georgia	99770	295
Clovis	California	99769	296
Flint	Michigan	99763	297
Roanoke	Virginia	98465	298
Albany	New York	98424	299
Jurupa Valley	California	98030	300
Compton	California	97877	301
San Angelo	Texas	97492	302
Hillsboro	Oregon	97368	303
Lawton	Oklahoma	97151	304
Renton	Washington	97003	305
Vista	California	96929	306
Davie	Florida	96830	307
Greeley	Colorado	96539	308
Mission Viejo	California	96346	309
Portsmouth	Virginia	96205	310
Dearborn	Michigan	95884	311
South Gate	California	95677	312
Tuscaloosa	Alabama	95334	313
Livonia	Michigan	95208	314
New Bedford	Massachusetts	95078	315
Vacaville	California	94275	316
Brockton	Massachusetts	94089	317
Roswell	Georgia	94034	318
Beaverton	Oregon	93542	319
Quincy	Massachusetts	93494	320
Sparks	Nevada	93282	321
Yakima	Washington	93257	322
Lee's Summit	Missouri	93184	323
Federal Way	Washington	92734	324
Carson	California	92599	325
Santa Monica	California	92472	326
Hesperia	California	92147	327
Allen	Texas	92020	328
Rio Rancho	New Mexico	91956	329
Yuma	Arizona	91923	330
Westminster	California	91739	331
Orem	Utah	91648	332
Lynn	Massachusetts	91589	333
Redding	California	91119	334
Spokane Valley	Washington	91113	335
Miami Beach	Florida	91026	336
League City	Texas	90983	337
Lawrence	Kansas	90811	338
Santa Barbara	California	90412	339
Plantation	Florida	90268	340
Sandy	Utah	90231	341
Sunrise	Florida	90116	342
Macon	Georgia	89981	343
Longmont	Colorado	89919	344
Boca Raton	Florida	89407	345
San Marcos	California	89387	346
Greenville	North Carolina	89130	347
Waukegan	Illinois	88826	348
Fall River	Massachusetts	88697	349
Chico	California	88077	350
Newton	Massachusetts	87971	351
San Leandro	California	87965	352
Reading	Pennsylvania	87893	353
Norwalk	Connecticut	87776	354
Fort Smith	Arkansas	87650	355
Newport Beach	California	87273	356
Asheville	North Carolina	87236	357
Nashua	New Hampshire	87137	358
Edmond	Oklahoma	87004	359
Whittier	California	86635	360
Nampa	Idaho	86518	361
Bloomington	Minnesota	86319	362
Deltona	Florida	86290	363
Hawthorne	California	86199	364
Duluth	Minnesota	86128	365
Carmel	Indiana	85927	366
Suffolk	Virginia	85728	367
Clifton	New Jersey	85390	368
Citrus Heights	California	85285	369
Livermore	California	85156	370
Tracy	California	84691	371
Alhambra	California	84577	372
Kirkland	Washington	84430	373
Trenton	New Jersey	84349	374
Ogden	Utah	84249	375
Hoover	Alabama	84126	376
Cicero	Illinois	84103	377
Fishers	Indiana	83891	378
Sugar Land	Texas	83860	379
Danbury	Connecticut	83684	380
Meridian	Idaho	83596	381
Indio	California	83539	382
Concord	North Carolina	83506	383
Menifee	California	83447	384
Champaign	Illinois	83424	385
Buena Park	California	82882	386
Troy	Michigan	82821	387
O'Fallon	Missouri	82809	388
Johns Creek	Georgia	82788	389
Bellingham	Washington	82631	390
Westland	Michigan	82578	391
Bloomington	Indiana	82575	392
Sioux City	Iowa	82459	393
Warwick	Rhode Island	81971	394
Hemet	California	81750	395
Longview	Texas	81443	396
Farmington Hills	Michigan	81295	397
Bend	Oregon	81236	398
Lakewood	California	81121	399
Merced	California	81102	400
Mission	Texas	81050	401
Chino	California	80988	402
Redwood City	California	80872	403
Edinburg	Texas	80836	404
Cranston	Rhode Island	80566	405
Parma	Ohio	80429	406
New Rochelle	New York	79446	407
Lake Forest	California	79312	408
Napa	California	79068	409
Hammond	Indiana	78967	410
Fayetteville	Arkansas	78960	411
Bloomington	Illinois	78902	412
Avondale	Arizona	78822	413
Somerville	Massachusetts	78804	414
Palm Coast	Florida	78740	415
Bryan	Texas	78709	416
Gary	Indiana	78450	417
Largo	Florida	78409	418
Brooklyn Park	Minnesota	78373	419
Tustin	California	78327	420
Racine	Wisconsin	78199	421
Deerfield Beach	Florida	78041	422
Lynchburg	Virginia	78014	423
Mountain View	California	77846	424
Medford	Oregon	77677	425
Lawrence	Massachusetts	77657	426
Bellflower	California	77593	427
Melbourne	Florida	77508	428
St. Joseph	Missouri	77147	429
Camden	New Jersey	76903	430
St. George	Utah	76817	431
Kennewick	Washington	76762	432
Baldwin Park	California	76635	433
Chino Hills	California	76572	434
Alameda	California	76419	435
Albany	Georgia	76185	436
Arlington Heights	Illinois	75994	437
Scranton	Pennsylvania	75806	438
Evanston	Illinois	75570	439
Kalamazoo	Michigan	75548	440
Baytown	Texas	75418	441
Upland	California	75413	442
Springdale	Arkansas	75229	443
Bethlehem	Pennsylvania	75018	444
Schaumburg	Illinois	74907	445
Mount Pleasant	South Carolina	74885	446
Auburn	Washington	74860	447
Decatur	Illinois	74710	448
San Ramon	California	74513	449
Pleasanton	California	74110	450
Wyoming	Michigan	74100	451
Lake Charles	Louisiana	74024	452
Plymouth	Minnesota	73987	453
Bolingbrook	Illinois	73936	454
Pharr	Texas	73790	455
Appleton	Wisconsin	73596	456
Gastonia	North Carolina	73209	457
Folsom	California	73098	458
Southfield	Michigan	73006	459
Rochester Hills	Michigan	72952	460
New Britain	Connecticut	72939	461
Goodyear	Arizona	72864	462
Canton	Ohio	72535	463
Warner Robins	Georgia	72531	464
Union City	California	72528	465
Perris	California	72326	466
Manteca	California	71948	467
Iowa City	Iowa	71591	468
Jonesboro	Arkansas	71551	469
Wilmington	Delaware	71525	470
Lynwood	California	71371	471
Loveland	Colorado	71334	472
Pawtucket	Rhode Island	71172	473
Boynton Beach	Florida	71097	474
Waukesha	Wisconsin	71016	475
Gulfport	Mississippi	71012	476
Apple Valley	California	70924	477
Passaic	New Jersey	70868	478
Rapid City	South Dakota	70812	479
Layton	Utah	70790	480
Lafayette	Indiana	70373	481
Turlock	California	70365	482
Muncie	Indiana	70316	483
Temple	Texas	70190	484
Missouri City	Texas	70185	485
Redlands	California	69999	486
Santa Fe	New Mexico	69976	487
Lauderhill	Florida	69813	488
Milpitas	California	69783	489
Palatine	Illinois	69350	490
Missoula	Montana	69122	491
Rock Hill	South Carolina	69103	492
Jacksonville	North Carolina	69079	493
Franklin	Tennessee	68886	494
Flagstaff	Arizona	68667	495
Flower Mound	Texas	68609	496
Weston	Florida	68388	497
Waterloo	Iowa	68366	498
Union City	New Jersey	68247	499
Mount Vernon	New York	68224	500
Fort Myers	Florida	68190	501
Dothan	Alabama	68001	502
Rancho Cordova	California	67911	503
Redondo Beach	California	67815	504
Jackson	Tennessee	67685	505
Pasco	Washington	67599	506
St. Charles	Missouri	67569	507
Eau Claire	Wisconsin	67545	508
North Richland Hills	Texas	67317	509
Bismarck	North Dakota	67034	510
Yorba Linda	California	67032	511
Kenner	Louisiana	66975	512
Walnut Creek	California	66900	513
Frederick	Maryland	66893	514
Oshkosh	Wisconsin	66778	515
Pittsburg	California	66695	516
Palo Alto	California	66642	517
Bossier City	Louisiana	66333	518
Portland	Maine	66318	519
St. Cloud	Minnesota	66297	520
Davis	California	66205	521
South San Francisco	California	66174	522
Camarillo	California	66086	523
North Little Rock	Arkansas	66075	524
Schenectady	New York	65902	525
Gaithersburg	Maryland	65690	526
Harlingen	Texas	65665	527
Woodbury	Minnesota	65656	528
Eagan	Minnesota	65453	529
Yuba City	California	65416	530
Maple Grove	Minnesota	65415	531
Youngstown	Ohio	65184	532
Skokie	Illinois	65176	533
Kissimmee	Florida	65173	534
Johnson City	Tennessee	65123	535
Victoria	Texas	65098	536
San Clemente	California	65040	537
Bayonne	New Jersey	65028	538
Laguna Niguel	California	64652	539
East Orange	New Jersey	64544	540
Shawnee	Kansas	64323	541
Homestead	Florida	64079	542
Rockville	Maryland	64072	544
Delray Beach	Florida	64072	543
Janesville	Wisconsin	63820	545
Conway	Arkansas	63816	546
Pico Rivera	California	63771	547
Lorain	Ohio	63710	548
Montebello	California	63495	549
Lodi	California	63338	550
New Braunfels	Texas	63279	551
Marysville	Washington	63269	552
Tamarac	Florida	63155	553
Madera	California	63105	554
Conroe	Texas	63032	555
Santa Cruz	California	62864	556
Eden Prairie	Minnesota	62603	557
Cheyenne	Wyoming	62448	558
Daytona Beach	Florida	62316	559
Alpharetta	Georgia	62298	560
Hamilton	Ohio	62258	561
Waltham	Massachusetts	62227	562
Coon Rapids	Minnesota	62103	563
Haverhill	Massachusetts	62088	564
Council Bluffs	Iowa	61969	565
Taylor	Michigan	61817	566
Utica	New York	61808	567
Ames	Iowa	61792	568
La Habra	California	61653	569
Encinitas	California	61588	570
Bowling Green	Kentucky	61488	571
Burnsville	Minnesota	61434	572
Greenville	South Carolina	61397	573
West Des Moines	Iowa	61255	574
Cedar Park	Texas	61238	575
Tulare	California	61170	576
Monterey Park	California	61085	577
Vineland	New Jersey	61050	578
Terre Haute	Indiana	61025	579
North Miami	Florida	61007	580
Mansfield	Texas	60872	581
West Allis	Wisconsin	60697	582
Bristol	Connecticut	60568	583
Taylorsville	Utah	60519	584
Malden	Massachusetts	60509	585
Meriden	Connecticut	60456	586
Blaine	Minnesota	60407	587
Wellington	Florida	60202	588
Cupertino	California	60189	589
Springfield	Oregon	60177	590
Rogers	Arkansas	60112	591
St. Clair Shores	Michigan	60070	592
Gardena	California	59957	593
Pontiac	Michigan	59887	594
National City	California	59834	595
Grand Junction	Colorado	59778	596
Rocklin	California	59738	597
Chapel Hill	North Carolina	59635	598
Casper	Wyoming	59628	599
Broomfield	Colorado	59471	600
Petaluma	California	59440	601
South Jordan	Utah	59366	602
Springfield	Ohio	59357	603
Great Falls	Montana	59351	604
Lancaster	Pennsylvania	59325	605
North Port	Florida	59212	606
Lakewood	Washington	59097	607
Marietta	Georgia	59089	608
San Rafael	California	58994	609
Royal Oak	Michigan	58946	610
Des Plaines	Illinois	58918	611
Huntington Park	California	58879	612
La Mesa	California	58642	613
Orland Park	Illinois	58590	614
Auburn	Alabama	58582	615
Lakeville	Minnesota	58562	616
Owensboro	Kentucky	58416	617
Moore	Oklahoma	58414	618
Jupiter	Florida	58298	619
Idaho Falls	Idaho	58292	620
Dubuque	Iowa	58253	621
Bartlett	Tennessee	58226	622
Rowlett	Texas	58043	623
Novi	Michigan	57960	624
White Plains	New York	57866	625
Arcadia	California	57639	626
Redmond	Washington	57530	627
Lake Elsinore	California	57525	628
Ocala	Florida	57468	629
Tinley Park	Illinois	57282	630
Port Orange	Florida	57203	631
Medford	Massachusetts	57170	632
Oak Lawn	Illinois	57073	633
Rocky Mount	North Carolina	56954	634
Kokomo	Indiana	56895	635
Coconut Creek	Florida	56792	636
Bowie	Maryland	56759	637
Berwyn	Illinois	56758	638
Midwest City	Oklahoma	56756	639
Fountain Valley	California	56707	640
Buckeye	Arizona	56683	641
Dearborn Heights	Michigan	56620	642
Woodland	California	56590	643
Noblesville	Indiana	56540	644
Valdosta	Georgia	56481	645
Diamond Bar	California	56449	646
Manhattan	Kansas	56143	647
Santee	California	56105	648
Taunton	Massachusetts	56069	649
Sanford	Florida	56002	650
Kettering	Ohio	55870	651
New Brunswick	New Jersey	55831	652
Decatur	Alabama	55816	653
Chicopee	Massachusetts	55717	654
Anderson	Indiana	55670	655
Margate	Florida	55456	656
Weymouth Town	Massachusetts	55419	657
Hempstead	New York	55361	658
Corvallis	Oregon	55298	659
Eastvale	California	55191	660
Porterville	California	55174	661
West Haven	Connecticut	55046	662
Brentwood	California	55000	663
Paramount	California	54980	664
Grand Forks	North Dakota	54932	665
Georgetown	Texas	54898	666
St. Peters	Missouri	54842	667
Shoreline	Washington	54790	668
Mount Prospect	Illinois	54771	669
Hanford	California	54686	670
Normal	Illinois	54664	671
Rosemead	California	54561	672
Lehi	Utah	54382	673
Pocatello	Idaho	54350	674
Highland	California	54291	675
Novato	California	54194	676
Port Arthur	Texas	54135	677
Carson City	Nevada	54080	678
San Marcos	Texas	54076	679
Hendersonville	Tennessee	54068	680
Elyria	Ohio	53956	681
Revere	Massachusetts	53756	682
Pflugerville	Texas	53752	683
Greenwood	Indiana	53665	684
Bellevue	Nebraska	53663	685
Wheaton	Illinois	53648	686
Smyrna	Georgia	53438	687
Sarasota	Florida	53326	688
Blue Springs	Missouri	53294	689
Colton	California	53243	690
Euless	Texas	53224	691
Castle Rock	Colorado	53063	692
Cathedral City	California	52977	693
Kingsport	Tennessee	52962	694
Lake Havasu City	Arizona	52844	695
Pensacola	Florida	52703	696
Hoboken	New Jersey	52575	697
Yucaipa	California	52536	698
Watsonville	California	52477	699
Richland	Washington	52413	700
Delano	California	52403	701
Hoffman Estates	Illinois	52398	702
Florissant	Missouri	52363	703
Placentia	California	52206	704
West New York	New Jersey	52122	705
Dublin	California	52105	706
Oak Park	Illinois	52066	707
Peabody	Massachusetts	52044	708
Perth Amboy	New Jersey	51982	709
Battle Creek	Michigan	51848	710
Bradenton	Florida	51763	711
Gilroy	California	51701	712
Milford	Connecticut	51644	713
Albany	Oregon	51583	714
Ankeny	Iowa	51567	715
La Crosse	Wisconsin	51522	716
Burlington	North Carolina	51510	717
DeSoto	Texas	51483	718
Harrisonburg	Virginia	51395	719
Minnetonka	Minnesota	51368	720
Elkhart	Indiana	51265	721
Lakewood	Ohio	51143	722
Glendora	California	51074	723
Southaven	Mississippi	50997	724
Charleston	West Virginia	50821	725
Joplin	Missouri	50789	726
Enid	Oklahoma	50725	727
Palm Beach Gardens	Florida	50699	728
Brookhaven	Georgia	50603	729
Plainfield	New Jersey	50588	730
Grand Island	Nebraska	50550	731
Palm Desert	California	50508	732
Huntersville	North Carolina	50458	733
Tigard	Oregon	50444	734
Lenexa	Kansas	50344	735
Saginaw	Michigan	50303	736
Kentwood	Michigan	50233	737
Doral	Florida	50213	738
Apple Valley	Minnesota	50201	739
Grapevine	Texas	50195	740
Aliso Viejo	California	50175	741
Sammamish	Washington	50169	742
Casa Grande	Arizona	50111	743
Pinellas Park	Florida	49998	744
Troy	New York	49974	745
West Sacramento	California	49891	746
Burien	Washington	49858	747
Commerce City	Colorado	49799	748
Monroe	Louisiana	49761	749
Cerritos	California	49707	750
Downers Grove	Illinois	49670	751
Coral Gables	Florida	49631	752
Wilson	North Carolina	49628	753
Niagara Falls	New York	49468	754
Poway	California	49417	755
Edina	Minnesota	49376	756
Cuyahoga Falls	Ohio	49267	757
Rancho Santa Margarita	California	49228	758
Harrisburg	Pennsylvania	49188	759
Huntington	West Virginia	49177	760
La Mirada	California	49133	761
Cypress	California	49087	762
Caldwell	Idaho	48957	763
Logan	Utah	48913	764
Galveston	Texas	48733	765
Sheboygan	Wisconsin	48725	766
Middletown	Ohio	48630	767
Murray	Utah	48612	768
Roswell	New Mexico	48611	769
Parker	Colorado	48608	770
Bedford	Texas	48592	771
East Lansing	Michigan	48554	772
Methuen	Massachusetts	48514	773
Covina	California	48508	774
Alexandria	Louisiana	48426	775
Olympia	Washington	48338	776
Euclid	Ohio	48139	777
Mishawaka	Indiana	47989	778
Salina	Kansas	47846	779
Azusa	California	47842	780
Newark	Ohio	47777	781
Chesterfield	Missouri	47749	782
Leesburg	Virginia	47673	783
Dunwoody	Georgia	47591	784
Hattiesburg	Mississippi	47556	785
Roseville	Michigan	47555	786
Bonita Springs	Florida	47547	787
Portage	Michigan	47523	788
St. Louis Park	Minnesota	47411	789
Collierville	Tennessee	47333	790
Middletown	Connecticut	47333	791
Stillwater	Oklahoma	47186	792
East Providence	Rhode Island	47149	793
Lawrence	Indiana	47135	794
Wauwatosa	Wisconsin	47134	795
Mentor	Ohio	46979	796
Ceres	California	46714	797
Cedar Hill	Texas	46663	798
Mansfield	Ohio	46454	799
Binghamton	New York	46444	800
Coeur d'Alene	Idaho	46402	801
San Luis Obispo	California	46377	802
Minot	North Dakota	46321	803
Palm Springs	California	46281	804
Pine Bluff	Arkansas	46094	805
Texas City	Texas	46081	806
Summerville	South Carolina	46074	807
Twin Falls	Idaho	45981	808
Jeffersonville	Indiana	45929	809
San Jacinto	California	45851	810
Madison	Alabama	45799	811
Altoona	Pennsylvania	45796	812
Columbus	Indiana	45775	813
Beavercreek	Ohio	45712	814
Apopka	Florida	45587	815
Elmhurst	Illinois	45556	816
Maricopa	Arizona	45508	817
Farmington	New Mexico	45426	818
Glenview	Illinois	45417	819
Cleveland Heights	Ohio	45394	820
Draper	Utah	45285	821
Lincoln	California	45237	822
Sierra Vista	Arizona	45129	823
Lacey	Washington	44919	824
Biloxi	Mississippi	44820	825
Strongsville	Ohio	44730	826
Barnstable Town	Massachusetts	44641	827
Wylie	Texas	44575	828
Sayreville	New Jersey	44412	829
Kannapolis	North Carolina	44359	830
Charlottesville	Virginia	44349	831
Littleton	Colorado	44275	832
Titusville	Florida	44206	833
Hackensack	New Jersey	44113	834
Newark	California	44096	835
Pittsfield	Massachusetts	44057	836
York	Pennsylvania	43935	837
Lombard	Illinois	43907	838
Attleboro	Massachusetts	43886	839
DeKalb	Illinois	43849	840
Blacksburg	Virginia	43609	841
Dublin	Ohio	43607	842
Haltom City	Texas	43580	843
Lompoc	California	43509	844
El Centro	California	43363	845
Danville	California	43341	846
Jefferson City	Missouri	43330	847
Cutler Bay	Florida	43328	848
Oakland Park	Florida	43286	849
North Miami Beach	Florida	43250	850
Freeport	New York	43167	851
Moline	Illinois	43116	852
Coachella	California	43092	853
Fort Pierce	Florida	43074	854
Smyrna	Tennessee	43060	855
Bountiful	Utah	43023	856
Fond du Lac	Wisconsin	42970	857
Everett	Massachusetts	42935	858
Danville	Virginia	42907	859
Keller	Texas	42907	860
Belleville	Illinois	42895	861
Bell Gardens	California	42889	862
Cleveland	Tennessee	42774	863
North Lauderdale	Florida	42757	864
Fairfield	Ohio	42635	865
Salem	Massachusetts	42544	866
Rancho Palos Verdes	California	42448	867
San Bruno	California	42443	868
Concord	New Hampshire	42419	869
Burlington	Vermont	42284	870
Apex	North Carolina	42214	871
Midland	Michigan	42181	872
Altamonte Springs	Florida	42150	873
Hutchinson	Kansas	41889	874
Buffalo Grove	Illinois	41778	875
Urbandale	Iowa	41776	876
State College	Pennsylvania	41757	877
Urbana	Illinois	41752	878
Plainfield	Illinois	41734	879
Manassas	Virginia	41705	880
Bartlett	Illinois	41679	881
Kearny	New Jersey	41664	882
Oro Valley	Arizona	41627	883
Findlay	Ohio	41512	884
Rohnert Park	California	41398	885
Westfield	Massachusetts	41301	887
Linden	New Jersey	41301	886
Sumter	South Carolina	41190	888
Wilkes-Barre	Pennsylvania	41108	889
Woonsocket	Rhode Island	41026	890
Leominster	Massachusetts	41002	891
Shelton	Connecticut	40999	892
Brea	California	40963	893
Covington	Kentucky	40956	894
Rockwall	Texas	40922	895
Meridian	Mississippi	40921	896
Riverton	Utah	40921	897
St. Cloud	Florida	40918	898
Quincy	Illinois	40915	899
Morgan Hill	California	40836	900
Warren	Ohio	40768	901
Edmonds	Washington	40727	902
Burleson	Texas	40714	903
Beverly	Massachusetts	40664	904
Mankato	Minnesota	40641	905
Hagerstown	Maryland	40612	906
Prescott	Arizona	40590	907
Campbell	California	40584	908
Cedar Falls	Iowa	40566	909
Beaumont	California	40481	910
La Puente	California	40435	911
Crystal Lake	Illinois	40388	912
